MovieID,Title,MPAA Rating,Budget,Gross,Release Date,Genre,Runtime,Rating,Rating Count,Summary
11,The War of the Roses,R,26000000.0,160200000.0,1989-12-08,Comedy,116.0,6.8,45248.0,A married couple try everything to get each other to leave the house in a vicious divorce battle.
12,National Lampoon's Christmas Vacation,PG-13,27000000.0,71320000.0,1989-12-01,Action,97.0,7.6,135690.0,The Griswold familys plans for a big family Christmas predictably turn into a big disaster.
13,"Honey, I Shrunk the Kids",PG,32000000.0,222724172.0,1989-06-22,Family,93.0,6.3,132480.0,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
14,Batman,PG,35000000.0,411348924.0,1989-06-23,Action,126.0,7.5,319517.0,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
15,Ghostbusters II,PG,37000000.0,215394738.0,1989-06-15,Comedy,108.0,6.6,171196.0,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
16,The Little Mermaid,PG,40000000.0,222300000.0,1989-11-17,Animation,83.0,7.6,219221.0,A mermaid princess makes a Faustian bargain in an attempt to become human and win a princes love.
17,Back to the Future Part II,PG,40000000.0,332000000.0,1989-11-20,Science Fiction,108.0,7.8,438940.0,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
18,Indiana Jones and the Last Crusade,PG-13,48000000.0,474171806.0,1989-05-24,Adventure,127.0,8.2,647495.0,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against Adolf Hitlers Nazis again to stop them from obtaining its powers."
19,Tango & Cash,R,55000000.0,63408614.0,1989-12-22,Action,104.0,6.8,79806.0,"Framed by their ruthless arch-nemesis, a mismatched LAPD crime-fighting duo has to put its differences aside to even the score with the evil kingpin who put them behind bars once and for all."
20,Steel Magnolias,PG,15000000.0,95904091.0,1989-11-15,Drama,119.0,7.3,43037.0,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
21,Three Men and a Little Lady,PG,11000000.0,71600000.0,1990-11-21,Family,104.0,6.1,127793.0,"Sequel to Three Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes."
22,Teenage Mutant Ninja Turtles,PG,13500000.0,202000000.0,1990-03-30,Action,93.0,6.8,79806.0,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
23,Pretty Woman,R,14000000.0,463000000.0,1990-03-23,Romance,119.0,7.0,266405.0,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
24,Kindergarten Cop,PG-13,15000000.0,201957688.0,1990-12-21,Action,111.0,6.1,127793.0,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminals ex-wife, who may hold the key to putting him behind bars."
25,Home Alone,PG,18000000.0,476684675.0,1990-11-09,Family,103.0,7.6,414472.0,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
26,Bird on a Wire,PG-13,20000000.0,138700000.0,1990-05-18,Comedy,110.0,6.0,37415.0,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.
27,Misery,R,20000000.0,61276872.0,1990-11-28,Drama,107.0,7.8,168946.0,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
28,Edward Scissorhands,PG-13,20000000.0,53000000.0,1990-12-05,Drama,105.0,7.9,421760.0,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
29,Ghost,PG-13,22000000.0,505000000.0,1990-07-12,Thriller,127.0,7.0,183054.0,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
30,Presumed Innocent,R,22000000.0,221303188.0,1990-07-26,Crime,127.0,6.9,35122.0,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else."
31,Dances with Wolves,PG-13,22000000.0,424208848.0,1990-11-09,Western,181.0,8.0,224754.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
32,Flatliners,R,26000000.0,61489265.0,1990-08-09,Horror,115.0,6.6,76155.0,"Five medical students experiment with near death experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
33,The Hunt for Red October,PG,30000000.0,199200000.0,1990-03-02,Thriller,134.0,7.6,167212.0,"In November 1984, the Soviet Unions best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?"
34,Another 48 Hrs.,R,38000000.0,153518974.0,1990-06-08,Action,95.0,5.9,36103.0,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
35,Back to the Future Part III,PG,40000000.0,244527583.0,1990-05-25,Family,118.0,7.4,369652.0,"Learning about the death of Doc Brown in 1885, Marty travels back in time to save him. But when the fuel tank on the time machine is punctured, the two must figure out a way to escape the Old West before Emmet is murdered."
36,Dick Tracy,PG,47000000.0,103738726.0,1990-06-15,Crime,103.0,6.1,54312.0,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprices united mob.
37,The Godfather: Part III,R,54000000.0,136766062.0,1990-12-24,Drama,162.0,7.6,332236.0,"In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing."
38,Days of Thunder,PG-13,60000000.0,157920733.0,1990-06-27,Adventure,107.0,6.0,73649.0,A young hot-shot stock car driver gets his chance to compete at the top level.
39,Total Recall,R,65000000.0,261317921.0,1990-06-01,Science Fiction,113.0,7.5,282870.0,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?"
40,Die Hard 2,R,70000000.0,240031094.0,1990-07-02,Thriller,124.0,7.2,317843.0,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
41,Fried Green Tomatoes,PG-13,11000000.0,119418501.0,1991-12-27,Comedy,130.0,7.7,62493.0,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
42,The Silence of the Lambs,R,19000000.0,272742922.0,1991-02-01,Crime,119.0,8.6,1166583.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
43,Sleeping with the Enemy,R,19000000.0,174999005.0,1991-02-08,Drama,99.0,6.2,46455.0,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband."
44,Father of the Bride,PG,20000000.0,89325780.0,1991-12-20,Romance,105.0,6.5,64326.0,"With his oldest daughters wedding approaching, a father finds himself reluctant to let go."
45,The Naked Gun 2 1/2: The Smell of Fear,PG-13,23000000.0,86900000.0,1991-06-28,Drama,85.0,6.5,64326.0,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.
46,Teenage Mutant Ninja Turtles II,PG,25000000.0,78600000.0,1991-03-22,Action,88.0,8.0,397467.0,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants."
47,Beauty and the Beast,PG,25000000.0,377350553.0,1991-11-13,Animation,84.0,8.0,397467.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love.
48,Hot Shots!,PG-13,26000000.0,181096164.0,1991-07-31,Comedy,84.0,6.8,93277.0,A parody of Top Gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.
49,City Slickers,PG-13,27000000.0,179033791.0,1991-06-07,Comedy,112.0,6.7,45166.0,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
50,Star Trek VI: The Undiscovered Country,PG,27000000.0,96900000.0,1991-12-05,Science Fiction,113.0,7.2,66086.0,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
51,The Addams Family,PG-13,30000000.0,191502426.0,1991-11-22,Comedy,99.0,6.9,119260.0,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
52,The Prince of Tides,R,30000000.0,74787599.0,1991-12-25,Romance,132.0,6.7,14918.0,A troubled man talks to his suicidal sisters psychiatrist about their family history and falls in love with her in the process.
53,What About Bob?,PG,35000000.0,63710000.0,1991-05-17,Comedy,100.0,7.0,58797.0,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation."
54,Cape Fear,R,35000000.0,182300000.0,1991-11-15,Crime,128.0,7.3,157496.0,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
55,JFK,R,40000000.0,205405498.0,1991-12-20,Drama,189.0,8.0,132879.0,New Orleans District Attorney Jim Garrison discovers theres more to the Kennedy assassination than the official story.
56,Robin Hood: Prince of Thieves,PG-13,48000000.0,390493908.0,1991-06-14,Adventure,143.0,6.9,168877.0,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw."
57,Hook,PG,70000000.0,300854823.0,1991-12-11,Family,144.0,6.8,218151.0,"When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy."
58,Backdraft,R,75000000.0,152368585.0,1991-05-24,Mystery,137.0,6.7,67442.0,"Two Chicago firefighter brothers, who dont get along, have to work together while a dangerous arsonist is on the loose."
59,Terminator 2: Judgment Day,R,100000000.0,520000000.0,1991-07-01,Science Fiction,137.0,8.5,930593.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
60,The Crying Game,R,3705538.0,62548947.0,1992-09-02,Romance,112.0,7.2,48101.0,"A British soldier kidnapped by IRA terrorists soon befriends one of his captors, who then becomes drawn into the soldiers world."
61,The Hand that Rocks the Cradle,R,11700000.0,88036683.0,1992-01-10,Drama,110.0,8.2,348791.0,"After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family."
62,Unforgiven,R,14000000.0,159157447.0,1992-08-07,Western,131.0,8.2,348791.0,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The Schofield Kid (Jaimz Woolvett)."
63,Home Alone 2: Lost in New York,PG,18000000.0,358991681.0,1992-11-19,Family,120.0,6.7,269944.0,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
64,Wayne's World,PG-13,20000000.0,121697323.0,1992-02-14,Comedy,94.0,7.0,135657.0,Two slacker friends try to promote their public-access cable show.
65,The Bodyguard,R,25000000.0,411006740.0,1992-11-25,Action,129.0,6.3,110511.0,"A former Secret Service agent takes on the job of bodyguard to an RB singer, whose lifestyle is most unlike a Presidents."
66,Aladdin,G,28000000.0,504050219.0,1992-11-25,Animation,90.0,8.0,336384.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
67,White Men Can't Jump,R,31000000.0,90753806.0,1992-03-26,Comedy,115.0,6.8,70430.0,Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.
68,Sister Act,PG,31000000.0,231605150.0,1992-05-28,Comedy,100.0,6.4,80510.0,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in."
69,Scent of a Woman,R,31000000.0,134095253.0,1992-12-23,Drama,157.0,8.0,238212.0,"A prep school student needing money agrees to babysit a blind man, but the job is not at all what he anticipated."
70,Lethal Weapon 3,R,35000000.0,321731527.0,1992-05-15,Action,118.0,6.7,148440.0,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.
71,Under Siege,R,35000000.0,156563139.0,1992-10-08,Action,103.0,6.5,71962.0,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
72,Boomerang,R,40000000.0,70100000.0,1992-06-30,Romance,117.0,5.5,24114.0,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
73,A League of Their Own,PG,40000000.0,107458785.0,1992-07-01,Comedy,128.0,7.2,85932.0,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
74,The Last of the Mohicans,R,40000000.0,75505856.0,1992-09-25,Action,112.0,7.7,139000.0,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
75,Bram Stoker's Dracula,R,40000000.0,215900000.0,1992-11-13,Drama,128.0,7.4,177678.0,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harkers fiancï¿½e Mina Murray and inflict havoc in the foreign land.
76,A Few Good Men,R,40000000.0,243240178.0,1992-12-11,Drama,138.0,7.7,218747.0,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
77,Patriot Games,R,45000000.0,178051587.0,1992-06-04,Thriller,117.0,6.9,95783.0,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge."
78,Basic Instinct,R,49000000.0,352927224.0,1992-03-20,Thriller,127.0,6.9,159658.0,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
79,Batman Returns,PG-13,80000000.0,280000000.0,1992-06-19,Action,126.0,7.0,258216.0,Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.
80,Cool Runnings,PG,14000000.0,154864401.0,1993-09-30,Comedy,98.0,6.9,85604.0,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
81,Groundhog Day,PG,14600000.0,70906973.0,1993-02-11,Comedy,101.0,8.0,549538.0,A weatherman finds himself inexplicably living the same day over and over again.
82,Free Willy,PG,20000000.0,153698625.0,1993-07-16,Family,112.0,5.9,64130.0,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale."
83,Sleepless in Seattle,PG,21000000.0,227799884.0,1993-06-24,Romance,105.0,6.8,147908.0,A recently widowed mans son calls a radio talk-show in an attempt to find his father a partner.
84,Schindler's List,R,22000000.0,321365567.0,1993-11-29,History,195.0,8.9,1117322.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
85,Mrs. Doubtfire,PG-13,25000000.0,441286195.0,1993-11-24,Family,125.0,7.0,226146.0,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
86,Tombstone,R,25000000.0,56505065.0,1993-12-25,Drama,130.0,7.8,117576.0,"A successful lawmans plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
87,Philadelphia,PG-13,26000000.0,206678440.0,1993-12-22,Drama,125.0,7.7,210109.0,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
88,Dave,PG-13,28000000.0,63000000.0,1993-05-07,Comedy,110.0,6.8,46467.0,"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place."
89,Grumpy Old Men,PG-13,35100000.0,70200000.0,1993-12-25,Comedy,103.0,7.0,40509.0,A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.
90,Indecent Proposal,R,38000000.0,266614059.0,1993-04-07,Drama,117.0,5.9,58078.0,A billionaire offers one million dollars to a young married couple for one night with the wife.
91,Sister Act 2: Back in the Habit,PG,38000000.0,57319029.0,1993-12-09,Comedy,107.0,5.6,45380.0,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.
92,In the Line of Fire,R,40000000.0,176997168.0,1993-07-08,Crime,128.0,7.2,86650.0,"Secret Service agent Frank Horrigan couldnt save Kennedy, but hes determined not to let a clever assassin take out this president."
93,Rising Sun,R,40000000.0,107198790.0,1993-07-30,Thriller,125.0,6.2,40088.0,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the companys executives and the investigating cop Tom Graham."
94,The Firm,R,42000000.0,270248367.0,1993-06-30,Mystery,154.0,6.8,108683.0,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
95,The Fugitive,PG-13,44000000.0,368875760.0,1993-08-06,Adventure,130.0,7.8,249811.0,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
96,The Pelican Brief,PG-13,45000000.0,195268056.0,1993-12-16,Crime,141.0,6.6,71238.0,"A law student uncovers a conspiracy, putting herself and others in danger."
97,Demolition Man,R,57000000.0,159055768.0,1993-10-08,Action,115.0,6.7,148329.0,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
98,Cliffhanger,R,70000000.0,255000211.0,1993-05-28,Adventure,112.0,6.4,113299.0,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
99,Jurassic Park III,PG-13,93000000.0,368800000.0,2001-07-16,Thriller,92.0,8.9,1690474.0," A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants."
100,Pulp Fiction,R,8000000.0,213928762.0,1994-09-10,Thriller,154.0,8.9,1690474.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
101,Ace Ventura: Pet Detective,PG-13,15000000.0,107217396.0,1994-02-04,Comedy,86.0,6.9,260044.0,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.
102,Dumb and Dumber,PG-13,16000000.0,247275374.0,1994-12-16,Comedy,107.0,7.3,334497.0,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen, to return the briefcase to its owner."
103,The Santa Clause,PG,22000000.0,189833357.0,1994-11-10,Family,97.0,6.4,86610.0,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
104,The Mask,PG-13,23000000.0,351583407.0,1994-07-29,Romance,101.0,6.9,320839.0,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
105,Speed,R,30000000.0,350448145.0,1994-06-09,Action,116.0,7.2,309338.0,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
106,Legends of the Fall,R,30000000.0,160638883.0,1994-12-16,Drama,133.0,7.5,136361.0,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
107,Star Trek: Generations,PG,38000000.0,120000000.0,1994-11-17,Science Fiction,118.0,8.5,869127.0,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix."
108,The Lion King,G,45000000.0,788241776.0,1994-06-23,Animation,89.0,8.5,869127.0,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his fathers death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
109,The Client,PG-13,45000000.0,117615211.0,1994-07-20,Drama,119.0,6.7,55788.0,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
110,The Specialist,R,45000000.0,170362582.0,1994-10-07,Action,110.0,5.6,59371.0,A woman entices a bomb expert shes involved with into destroying the mafia that killed her family.
111,The Flintstones,PG,46000000.0,341631208.0,1994-05-26,Family,91.0,4.9,71389.0,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money cant buy happiness."
112,Forrest Gump,PG-13,55000000.0,677945399.0,1994-07-06,Comedy,142.0,8.8,1657851.0,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
113,Stargate,PG-13,55000000.0,196567262.0,1994-10-27,Science Fiction,121.0,7.1,167516.0,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
114,Disclosure,R,55000000.0,214015089.0,1994-12-09,Drama,123.0,6.1,43455.0,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
115,Interview with the Vampire,R,60000000.0,223664608.0,1994-11-11,Horror,123.0,6.9,83296.0,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
116,Clear and Present Danger,PG-13,62000000.0,215887717.0,1994-08-03,Thriller,141.0,6.9,83296.0,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
117,Wolf,R,70000000.0,131000000.0,1994-06-17,Fantasy,125.0,6.2,49903.0,Publisher Will Randall becomes a werewolf and has to fight to keep his job.
118,Maverick,PG,75000000.0,183000000.0,1994-05-20,Action,127.0,7.0,96405.0,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
119,True Lies,R,115000000.0,378882411.0,1994-07-14,Action,141.0,7.2,223671.0,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States."
120,While You Were Sleeping,PG,17000000.0,182057016.0,1995-04-21,Romance,103.0,6.7,85626.0,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancï¿½e of a coma patient.
121,Dangerous Minds,R,23000000.0,179519401.0,1995-08-11,Crime,99.0,6.5,45479.0,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
122,Grumpier Old Men,PG-13,25000000.0,71500000.0,1995-12-22,Comedy,101.0,6.7,22759.0,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Maxs attention."
123,Father of the Bride Part II,PG,30000000.0,76578911.0,1995-02-10,Comedy,106.0,6.0,31971.0,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
124,Toy Story,G,30000000.0,373554033.0,1995-10-30,Animation,81.0,8.3,820625.0,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room.
125,Ace Ventura: When Nature Calls,PG-13,30000000.0,212385533.0,1995-11-10,Comedy,90.0,6.4,191266.0,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
126,Get Shorty,R,30250000.0,115101622.0,1995-10-20,Comedy,105.0,6.9,72078.0,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
127,Mr. Holland's Opus,PG,31000000.0,106269971.0,1995-12-29,Family,137.0,7.3,33906.0,A frustrated composer finds fulfillment as a high school music teacher.
128,Se7en,R,33000000.0,327311859.0,1995-09-22,Action,127.0,8.6,1323681.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
129,Casper,PG,50000000.0,287928194.0,1995-05-26,Family,100.0,6.1,110490.0,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
130,Congo,PG-13,50000000.0,152022101.0,1995-06-09,Drama,109.0,5.2,39870.0,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
131,Apollo 13,PG,52000000.0,355237933.0,1995-06-30,Drama,140.0,7.6,250975.0,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
132,Crimson Tide,R,53000000.0,157387195.0,1995-05-12,Thriller,116.0,7.3,95145.0,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so."
133,Pocahontas,G,55000000.0,346079773.0,1995-06-14,Animation,81.0,6.7,156670.0,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
134,GoldenEye,PG-13,58000000.0,352194034.0,1995-11-16,Action,130.0,7.2,226013.0,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as Goldeneye is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
135,Jumanji,PG,65000000.0,262797249.0,1995-12-15,Family,104.0,7.0,277496.0,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
136,Braveheart,R,72000000.0,210000000.0,1995-05-24,Action,177.0,8.3,907287.0,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
137,Die Hard: With a Vengeance,R,90000000.0,366101666.0,1995-05-19,Thriller,128.0,5.4,224254.0,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
138,Batman Forever,PG-13,100000000.0,336529144.0,1995-06-16,Action,121.0,5.4,224254.0,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
